win	num	den	n	fst	chrom	region
19000000	75.47646695097734	5784.746189446987	3661	0.013047498451819331	1	flank
19100000	123.86911105997474	8269.649049690213	3565	0.014978762740193306	1	flank
19200000	165.9312412704239	7176.382121938497	2612	0.02312185143586003	1	flank
19300000	202.47162795116282	11894.723651750704	4194	0.017021969898507256	1	flank
19400000	159.50277044044427	10409.315711578378	3619	0.015323079332009102	1	flank
19500000	192.7341287996979	9902.173617720886	3767	0.01946382039341158	1	flank
19600000	103.84390624832533	6682.846179956292	2613	0.015538874223946973	1	flank
19700000	148.05444180594765	8072.611418191845	2611	0.018340340459383816	1	flank
19800000	122.03945065324532	6505.856622335601	2208	0.01875839843046421	1	flank
19900000	102.58265525632693	6441.794491929099	2022	0.015924546395395315	1	flank
20000000	60.74437827249936	5188.575687199962	1649	0.011707332018371373	1	flank
20100000	103.60212399043914	5215.667710708331	1311	0.01986363582513755	1	flank
20200000	14.72853783888711	1079.0311680638465	407	0.01364977979766347	1	flank
20300000	7.016786479422234	573.0396615184183	500	0.012244853106379103	1	flank
20400000	100.20591137427496	6190.155541449167	1330	0.01618794725000011	1	flank
20500000	91.01360420199688	5700.627542767964	1627	0.01596554125299069	1	flank
20600000	118.68846250455917	8184.235803648903	1999	0.014502082460972407	1	flank
20700000	57.928096807850494	3812.2865889371496	1104	0.015195105471858195	1	flank
20800000	8.909197970876852	1135.4412186019092	445	0.007846463405518183	1	flank
20900000	62.31185967510304	4780.373545744892	1455	0.013034935257427339	1	flank
21000000	104.41855110789352	7260.547949277092	2311	0.014381635082830094	1	flank
21100000	67.42554037322923	4788.392341683334	1912	0.014081039221929366	1	flank
21200000	81.69684437045674	5049.378451258327	1726	0.016179584311034865	1	flank
21300000	107.02944687569853	7486.461987534741	2530	0.01429639889361715	1	flank
21400000	74.00171379747182	8256.331265595772	2528	0.008963026242156467	1	flank
21500000	132.66167505720975	7693.527997843586	2836	0.01724328228796898	1	flank
21600000	95.1995730467193	6293.1979034513115	2510	0.015127376336680912	1	flank
21700000	129.551194052536	9410.161992377049	3370	0.013767158754278874	1	flank
21800000	128.44829419732199	7275.9914327586075	2999	0.017653717075450475	1	flank
21900000	101.85696738821322	5678.920751893378	2622	0.01793597266773861	1	flank
22000000	147.48690715397058	6977.99796396939	2621	0.021135991715032484	1	flank
22100000	133.74727246637948	8538.822173159819	3748	0.01566343340499453	1	flank
22200000	196.94237357541937	10462.817714352046	4842	0.018823072230845592	1	flank
22300000	208.17436241676265	12191.754427667287	4644	0.017075012759799637	1	flank
22400000	186.771121579379	11056.978170920327	3709	0.0168916966907454	1	flank
22500000	142.75638043312767	10722.424495038666	4366	0.013313815406131512	1	flank
22600000	129.0497025669946	11522.724977555625	6331	0.0111995819407616	1	flank
22700000	120.73168378699295	10113.839933749208	5213	0.011937274524596675	1	flank
22800000	113.72533230963779	10075.297039323315	5303	0.01128754138620174	1	flank
22900000	114.94466331882148	10604.349789370572	4726	0.010839388138067455	1	flank
23000000	76.61587322378321	5595.178225741832	3170	0.013693196200845803	1	flank
23100000	113.3496543000474	7844.200583025789	4149	0.014450121857583147	1	flank
23200000	108.11084169441784	10721.56118857483	5429	0.010083498083247757	1	flank
23300000	200.88729478147428	12995.388856976466	6953	0.015458351957943114	1	flank
23400000	199.8744784928767	11430.813646898112	6802	0.017485586299197085	1	flank
23500000	193.20449202928216	11092.417666424057	6381	0.017417708009147378	1	flank
23600000	126.92035508040688	8646.395484253304	5324	0.014678990258027462	1	flank
23700000	265.73717383425856	18610.769346217407	9199	0.014278677516803945	1	flank
23800000	196.83763112330053	14606.954430633183	8519	0.013475610679697863	1	flank
23900000	238.53378718363876	17621.34026935075	9064	0.013536642703536389	1	flank
24000000	374.3863359048791	25230.79718557708	13521	0.01483846638499766	1	block
24100000	463.36039555458854	33314.95490184702	20155	0.013908480348232418	1	block
24200000	353.80758498733366	22653.94155482483	15918	0.01561792609604309	1	block
24300000	382.95018346040433	33509.10566293993	20924	0.011428242439903008	1	block
24400000	461.5594979957148	32886.163281615874	20686	0.01403506678608925	1	block
24500000	335.89012636923184	24215.668634820107	18959	0.013870776456126837	1	block
24600000	364.77569970676376	27989.95405889123	21460	0.013032379365084733	1	block
24700000	454.60104317749904	31772.89856308679	21751	0.014307824080792135	1	block
24800000	378.03383442173316	30011.359253091934	22035	0.012596358306656372	1	block
24900000	370.86352361943574	29914.989103211065	18763	0.012397247491546883	1	block
25000000	357.9522161623633	28062.80463051089	20888	0.012755397077211048	1	block
25100000	443.5585895702276	28935.106569231266	22884	0.015329426505098642	1	block
25200000	357.66914838685756	23801.33442970402	25042	0.015027272922163857	1	block
25300000	405.4266561309723	28713.364220606712	24364	0.01411978941290376	1	block
25400000	546.3612456110523	33681.419491406275	21295	0.016221443569219368	1	block
25500000	432.11534298380116	35693.64800884754	21720	0.012106225255448558	1	block
25600000	493.0945754401625	41684.15676444429	27972	0.011829304314025653	1	block
25700000	321.58480531420844	22823.26318023658	16856	0.014090220262310228	1	block
25800000	459.10848688892946	36686.60719736954	23822	0.012514334847563879	1	block
25900000	349.35843890603144	26442.251740092244	15863	0.01321212891927534	1	block
26000000	277.21811618659274	26112.064292210725	20369	0.010616476471731398	1	block
26100000	325.27951236967516	31498.997211152517	24195	0.010326662470845481	1	block
26200000	399.33960827263905	32347.460729910777	25691	0.012345315498084247	1	block
26300000	524.3500523438288	36713.80790774234	27631	0.0142820939103201	1	block
26400000	369.8969335012609	30533.719384784414	24294	0.012114375220386293	1	block
